ID;Hora_de_inicio;Hora_de_finalizacion;Correo_electronico;Usted_nacio_entre;Sexo;Sede__0;Usted_labora_en_la_sucursal_Barranquilla_en;Usted_labora_en_la_sucursal_Bogotá_en;Usted_ingreso_a_trabajar_en_West_Army_Security_Ltda_en_el_ano;Nivel_academico_alcanzado_hasta_ahora;Estado_civil;Tiene_hijos;Es_usted;Cargo_por_favor_escriba_su_respuesta;En_mi_trabajo_me_siento_lleno_de_energia;Mi_trabajo_esta_lleno_de_significado_y_proposito;El_tiempo_vuela_cuando_estoy_trabajando;Soy_fuerte_y_vigoroso_en_mi_trabajo;Estoy_entusiasmado_con_mi_trabajo;Cuando_estoy_trabajando_olvido_todo_lo_que_pasa_alrededor_de_mi;Mi_trabajo_me_inspira;Cuando_me_levanto_por_las_mananas_tengo_ganas_de_ir_a_trabajar;Soy_feliz_cuando_estoy_concentrado_en_mi_trabajo;Estoy_orgulloso_del_trabajo_que_hago;Estoy_inmerso_en_mi_trabajo;Puedo_continuar_trabajando_durante_largos_periodos_de_tiempo;Mi_trabajo_es_retador;Me_dejo_llevar_por_mi_trabajo;Soy_muy_persistente_en_mi_trabajo;Me_es_dificil_desconectarme_de_mi_trabajo;Incluso_cuando_las_cosas_no_van_bien_continuo_trabajando;Poseo_las_herramientas_de_trabajo_necesarias_para_desarrollar_mi_trabajo;El_proceso_para_obtener_nuevas_herramientas_o_remplazar_las_existentes_es_facil_y_rapido;Tengo_puesto_de_trabajo_;Mi_puesto_de_trabajo_esta_en_adecuadas_condiciones;Tengo_claras_las_normas_de_seguridad_y_salud_en_el_trabajo;Hago_pausas_activas_diarias;Dimension_Ciclo_de_vida_del_colaborador_en_la_compania;Recibi_entrenamiento_al_cargo;Recibi_Induccion_de_la_empresa_(sistemas_de_gestion_vision_mision);He_recibido_capacitacion_que_fomente_mi_crecimiento_profesional;He_recibido_capacitacion_que_fomente_mi_crecimiento_personal;Se_con_claridad_que_debo_hacer_y_como_miden_mis_resultados;"Que_tan_importante_es_para_mi_que_la_empresa_mejore_en_la_forma_en_que_se_contrata_capacita_y_despide_el_personal
";Dimension_Salario_economico;Recibo_el_salario_de_forma_puntual_y_completo;Dimension_Expectativas_a_futuro;Dimension_Balance_vida-trabajo;La_compania_fomenta_el_equilibrio_entre_vida_personal_y_vida_familiar_;Dimension_Cultura;Muestro_un_sentimiento_de_orgullo_sobre_el_lugar_donde_trabajo;Recomiendo_a_otras_personas_sobre_las_vacantes_que_existen_en_esta_compania;La_empresa_donde_trabajo_tiene_buena_reputacion_en_el_sector;Que_tan_urgente_es_para_mi_que_la_compania_mejore_la_imagen_que_proyecta_hacia_el_sector_y_sus_colaboradores;Dimension_Mejoramiento_personal;La_empresa_se_preocupa_por_mi_como_persona;La_empresa_se_preocupa_por_mi_como_profesional;Dimension_Liderazgo;Tengo_una_buena_relacion_con_mi_jefe_o_supervisor;Mi_jefe_me_motiva_a_trabajar;Mi_jefe_me_retroalimenta_cuando_hago_las_cosas_bien;Mi_jefe_me_retroalimenta_cuando_hago_las_cosas_mal;Mi_jefe_es_un_lider_para_mi;Que_tan_urgente_es_para_mi_que_mejore_la_relacion_e_interrelacion_con_mi_jefe_inmediato;Recibo_toda_la_informacion_suficiente_para_realizar_bien_mi_trabajo;Las_instrucciones_que_recibo_de_mi_jefe_son_claras;Dimension_Percepcion_del_ambiente_de_trabajo;Percibo_un_buen_ambiente_laboral;Me_siento_conectado_con_mis_companeros_de_trabajo;Me_siento_conectado_con_otras_areas_de_la_compania;Percibo_que_aprovechan_mis_talentos_y_capacidades;Percibo_que_mi_salud_fisica_y_emocional_es_buena;Estoy_estresado_(a);Percibo_que_mi_salud_financiera_es_buena;La_compania_promueve_actividades_de_bienestar;He_participado_en_actividades_de_reconocimientos_a_empleados;De_1_a_5_evalua_el_clima_laboral_de_esta_organizacion_donde_1_mal_clima_y_5_buen_clima_laboral;Dimension_Comunicacion;La_alta_direccion_manifiesta_sus_objetivos_de_tal_forma_que_se_crea_un_sentido_comun_de_mision_identidad_y_proposito_entre_los_colaboradores;Recibo_noticias_de_la_organizacion;La_compania_me_informa_sobre_los_cambios_corporativos
1;5/14/24 22:02:41;5/14/24 22:09:32;anonymous;Baby Boom;Masculino;Bogotá;;;2010;Postgrado;Unión Libre;1;Administrativo;lhdgldhg ;6;5;6;5;4;5;7;1;3;4;5;2;4;6;2;4;3;Si;Si;Si;Si;No;No;Si;No;Si;Si;No;Si;Poco importante;Si;Si;Si;No;Si;Si;No;No;Si;Muy urgente;Si;Si;No;Si;Si;No;Si;No;Si;Poco urgente;No;Si;Si;No;Si;No;Si;Si;No;Si;No;Si;4;No;Si;No;Si
2;5/16/24 10:32:08;5/16/24 10:44:26;anonymous;Baby Boom;Femenino;Bogotá;;;2003;Postgrado;Casado (a);1;Operativo;vigilante;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;5;Si;Si;Si;Si
3;5/18/24 9:30:41;5/18/24 9:54:11;anonymous;Generación Y (milenials);Femenino;Bogotá;;;2004;Maestria;Casado (a);1;Administrativo;Vigilante ;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;Si;Si;Si;No;No;Si;Si;Si;No;Si;Si;No;Poco importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;5;Si;Si;Si;Si
4;5/20/24 12:04:25;5/20/24 12:13:43;anonymous;Generación Z;Masculino;Barranquilla;Barranquilla;;2000;Profesional;Casado (a);5 o mas;Administrativo;Gerencia ;5;7;7;7;7;7;7;6;7;7;7;7;7;7;7;6;6;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;4;Si;Si;Si;Si
5;5/20/24 12:04:07;5/20/24 12:16:14;anonymous;Generación Z;Femenino;Medellín;;;2023;Profesional;Soltero (a);No;Administrativo;Jefe de talento Humano y ssta;6;6;7;6;5;3;5;6;6;6;6;6;7;6;6;3;3;Si;No;Si;Si;Si;No;Si;No;Si;No;Si;Si;Muy importante;No;Si;No;No;Si;No;Si;Si;No;Muy urgente;Si;No;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;No;4;Si;Si;Si;Si
6;5/20/24 12:09:21;5/20/24 12:17:14;anonymous;Generación Y (milenials);Femenino;Neiva;;;2023;Profesional;Soltero (a);1;Administrativo;Jefe administrativa y comercial;7;7;6;7;4;4;4;7;7;6;7;7;7;6;7;7;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;No;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;5;Si;Si;Si;Si
7;5/20/24 12:10:30;5/20/24 12:17:20;anonymous;Generación Y (milenials);Masculino;Bogotá;;Bogotá;2024;Bachiller;Soltero (a);No;Operativo;Guarda de seguridad ;5;5;5;6;6;5;6;6;6;6;5;5;5;5;5;4;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;4;Si;Si;Si;Si
8;5/20/24 12:05:00;5/20/24 12:17:25;anonymous;Generación Y (milenials);Masculino;Medellín;;;2024;Profesional;Soltero (a);No;Administrativo;JEFE COMERCIAL;3;3;5;5;2;5;2;3;4;5;5;5;7;5;5;5;5;Si;No;Si;Si;Si;Si;No;No;Si;No;No;No;Muy importante;No;No;No;Si;No;Si;Si;No;No;Muy urgente;No;Si;No;Si;Si;No;No;No;No;Muy urgente;No;No;Si;Si;No;No;No;Si;No;No;Si;No;4;Si;Si;Si;Si
9;5/20/24 12:12:02;5/20/24 12:18:42;anonymous;Generación Z;Femenino;Bogotá;;Bogotá;2022;Postgrado;Unión Libre;No;Administrativo;TALENTO HUMANO;5;4;7;6;5;7;5;5;5;7;7;6;7;7;5;5;7;No;No;Si;Si;Si;No;Si;No;Si;No;Si;Si;Muy importante;No;Si;Si;Si;Si;Si;Si;Si;No;Muy urgente;Si;Si;Si;Si;Si;No;No;No;Si;Muy urgente;No;Si;Si;Si;Si;Si;No;No;Si;No;Si;No;4;Si;Si;Si;Si
10;5/20/24 12:03:56;5/20/24 12:19:53;anonymous;Generación Z;Femenino;Medellín;;;2023;Profesional;Soltero (a);No;Administrativo;Psicologa;5;4;5;5;3;4;4;4;5;4;4;5;4;4;5;4;6;No;No;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Muy importante;No;Si;No;Si;Si;No;No;No;No;Muy urgente;Si;No;No;Si;Si;Si;Si;Si;Si;Poco urgente;No;Si;Si;Si;Si;No;Si;No;No;Si;Si;No;3;Si;No;Si;Si
11;5/20/24 12:12:48;5/20/24 12:19:59;anonymous;Generación Z;Masculino;Bucaramanga;;;2024;Bachiller;Soltero (a);No;Operativo;Guarda de seguridad ;7;7;7;7;7;6;7;7;7;7;7;7;6;6;7;1;3;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
